,sku_id,sku_name
0,3461993,ileven 坚果食光 休闲零食 坚果炒货 休闲小吃 日式咸香瓜子300g
1,100012421846,正林 坚果炒货 休闲零食 黑瓜子1000g/桶
2,100021511814,洽洽 308g香瓜子瓜子原味五香网红口味香瓜子葵花籽大颗粒恰恰年货休闲零食小吃零嘴每日坚果
3,100023917692,三胖蛋 五香味葵花籽 坚果炒货休闲零食168g/罐
4,100034594487,味滋源 山核桃味瓜子500g*3袋装瓜子网红办公室休闲小零食品
5,100045555953,享食者 瓜子 焦糖味香瓜子 休闲食品每日坚果 100g*5袋新老装随机
6,4203870,华味亨 话梅瓜子188g/袋 坚果 休闲食品 零食小吃
7,5464163,旺瓜 坚果炒货 休闲零食 甘草西瓜子160g/袋
8,100000056722,真心 红枣味瓜子 粒大皮薄 含红枣片  休闲零食小吃 坚果炒货 500g/袋
9,100017594525,尖下巴 马牙瓜子1000g 牙签瓜子 新疆阿克苏马牙瓜子  小吃 坚果炒货 休闲零食 办公室零食
10,100030321369,洽洽瓜子 招牌香瓜子恰恰焦糖山核桃藤椒味瓜子葵花籽休闲零食炒货小吃108g 藤椒味*5五袋装【清香麻爽】
11,100031158820,洽洽 葵珍瓜子礼盒188g*6罐/盒 原味大瓜子熟制葵花籽生香瓜子炒货零食大礼包 洽洽1128g葵珍瓜子礼盒三分熟
12,100035072763,童年记南瓜子208g/袋 坚果炒货 办公室小吃 年货零食 包装随机 2袋起售
13,100035253988,张二嘎 休闲零食 坚果炒货 地方特产 瓜子 薄盐原味 200g*2袋/包
14,100042452467,洽洽瓜子 招牌香瓜子 108g 藤椒味*5【清香麻爽】恰恰焦糖山核桃藤椒味瓜子葵花籽休闲零食每日坚果炒货小吃
15,100043168285,三胖蛋 盐焗南瓜子 办公室零食坚果炒货休闲零食南瓜籽 156g*5袋
16,100048601463,洽洽香瓜子200g
17,100054854797,洽洽 招牌香瓜子 宿舍聚会休闲零食清香麻爽 藤椒味瓜子【108g*5袋】
18,1937823,华味亨  甘草西瓜子138g/袋坚果炒货 办公室休闲零食品小吃
19,4780197,真心瓜子 原香瓜子 粒大皮薄不脏手 休闲零食 坚果炒货 葵花籽 500g 新老包装交替发货
20,100007196582,葵先生多味瓜子180g 大颗粒五香味葵花籽内蒙特产坚果休闲零食 量贩装小吃
21,100013307590,洽洽 网红口味山核桃味瓜子量贩装500g（大包装）
22,100016270261,农香森 新货原味吊瓜子500g散装罐装特大原味奶油小包装炒货干货零食五香大籽
23,100022089782,洽洽 五香香瓜子 经典包装葵花籽 休闲零食小吃 308g*5袋
24,100022782749,三胖蛋 原味瓜子  218g*6罐
25,100030992970,洽洽 瓜子500g焦糖瓜子坚果炒货
26,100032514760,三胖蛋原味南瓜子180*2罐+原味瓜子218*2罐
27,100036700730,川奈良品 南瓜子仁 内蒙特产方便小包装每日坚果炒货烘焙休闲零食品铺子 250g 袋装
28,100045174905,洽洽多味鸡汤瓜子500g*1袋（渠道商品，请勿下单）
29,100047321505,洽洽 瓜子小而香奶油味瓜子180gx5袋 休闲零食炒货
30,100054498271,洽洽零食大礼包385g
31,883737,瓜籽子特产零食休闲食品 金鸽 坚果炒货 多味葵瓜子360g
32,100018300369,烟台红富士苹果
33,100020517047,旭东百里挑一 甘草味葵瓜子独立小包装500g 葵花籽坚果炒货
34,100029553824,华味亨 焦糖味香瓜子500g*1+山核桃味瓜子500*1 休闲食品每日坚果量贩装小吃 零食 葵花籽
35,100042113916,盼盼焦糖瓜子101g 整箱32袋出售
36,100045974095,旭东百里挑一红瓜子五香味西瓜子128g批发独立小包装休闲零食
37,100046922849,洽洽多味瓜子230g/袋 葵花籽炒货每日坚果小吃休闲零食 2袋起售
38,100047645925,华巍 190g 南瓜子仁 罐装系列 保质期365天
39,5685849,8月农莊 山核桃味瓜子 坚果炒货烘烤香葵花籽 新疆干果60g
40,100005442149,三只松鼠蟹黄味瓜子仁 坚果炒货休闲零食免剥即食瓜子205g/袋
41,100031630152,洽洽香瓜子308g*1袋（新老包装交替发货）
42,100033683376,洽洽山核桃味瓜子108g
43,100035253561,童年记香瓜子500g*5袋 五香味葵花籽干果炒货年货休闲零食 包装随机
44,5271892,如水 坚果炒货 原味烘焙熟瓜籽绿色零食 南瓜子仁180g
45,100031907784,三胖蛋.南瓜子组合（五香、盐焗、原味各1）540g罐装
46,100037637983, 洽洽 每日坚果 洽洽瓜子 休闲零食炒货  熟制葵花籽 原香瓜子285g*6袋 
47,100047472182,恒誉话梅口味/五香味西瓜子坚果炒货 休闲零食2kg XHYSP
48,100050442399,佰斯纳特（bestnut）南瓜子仁 原味生南瓜籽仁大颗粒无壳免剥坚果甘肃特产 B罐/420g
49,7220237,徽记原香生瓜子 高温烫制葵花籽闲时磕瓜子休闲零食坚果500g
50,100010487445,甘源青豌豆蟹黄味75g*50袋 瓜子仁蚕豆青豌豆原味休闲小吃零食整箱
51,100011680845,零食多 脱皮香瓜子 多味葵瓜子 坚果炒货 休闲零食268g
52,100018560692,三胖蛋 南瓜子  小袋装 20g
53,100030460931,塔玛庄园 休闲零食坚果炒货 南瓜子仁1瓶 干净无沙粒粒饱满轻烘烤 230g/瓶
54,100046100588,童年记 南瓜子混合口味130g*10袋(南瓜子*5+五香味蒸南瓜子*5)零食炒货
55,100051000161,洽洽瓜子藤椒味18g*20袋小包装零食葵花籽年货炒货休闲零食办公室小吃
56,100015251681,旺瓜食品（wacoo） 罐装大颗葵花籽 坚果零食  核桃味  元气能量罐200g
57,100025898973,华味亨 焦糖味香瓜子 115g/袋 ZH
58,100031753056,洽洽 多味瓜子230g*10袋 网红口味葵花籽 休闲零食小吃 多味瓜子
59,100039477000,三胖蛋 五香味南瓜籽 1080g 礼盒
60,100041403638,三胖蛋 内蒙特产新五香瓜子经典168克罐装 葵花籽坚果炒货 年货零食小吃
61,100042474965,新佰味 （浙江山区26县）龙游县特产 新佰味多味味葵花籽500g/袋*2 双袋分享装
62,100042876655,洽洽 焦糖瓜子 葵花籽网红休闲零食坚果炒货小吃 108g*4包
63,100049354425,葵先生 原味大瓜子袋装 内蒙古正宗特产 干果休闲零食美味的葵花籽90g
64,100050023839,福财记福财记 手剥大瓜子坚果内蒙奶茶味葵花籽 奶茶味大瓜子180g*1袋
65,100050352521,三胖蛋（sanpangdan）原味瓜子宴会装180g单罐
66,100000056644,三胖蛋 盐焗味南瓜子年货礼盒 180g*6罐 坚果零食大礼包礼盒
67,100010288884,傻老大傻老大袋装瓜子178gx3葵花籽坚果特产
68,100011914106,一品巷子  蟹黄瓜子仁300g*4袋（新老包装随机发货）
69,100016405353,洽洽 原香瓜子285g*2件 经典包装葵花籽 休闲零食小吃
70,100035071225,童年记葵花香瓜子500克*5袋 五香味 干果炒货 办公室休闲小零食
71,100035253645,童年记葵花籽多味瓜子500g/袋 白壳五香味 年货炒货 休闲小零食 2袋起售
72,100003776441,老街口甘草味西瓜子1200g量贩装 桶装坚果炒货原味黑瓜子休闲零食
73,100006758473,徽记 原味生瓜子 坚果炒货 零食小吃干果休闲食品500g/袋(包装升级，新老包装随机发货）
74,100030671038,正林坚果炒货A系列黑瓜子818g/桶（新老包装随机发放）
75,100033371487,童年记坚果炒货 多味瓜子350g/袋 葵花子 休闲食品 炒货小吃 每日坚果
76,100040763990,洽洽焦糖瓜子98g*3袋小包装恰恰瓜子炒货零食大颗粒葵花籽年货
77,100043771469,洽洽葵珍八分熟原味瓜子礼盒188g*6罐（黑金罐）过节送礼礼品1128g
78,100049903699,洽洽瓜子藤椒味300g*2袋每日坚果炒货特产葵花籽休闲办公室零食小吃恰恰
79,7176967,旺瓜 坚果炒货 大颗粒葵花籽 休闲零食 红枣味瓜子 难吃的瓜子500g/袋
80,100015274365,洽洽香瓜子308g*8袋 经典包装葵花籽 休闲零食小吃 包装随机
81,100036249154,洽洽 焦糖瓜子188g*25袋-T
82,100040007195,浮闲 坚果炒货 休闲零食 南瓜子仁 袋装 250克/袋
83,100043296841,洽洽瓜子原香瓜子炒货葵花香瓜子休闲小零食 原香瓜子150g*5袋
84,100045018360,洽洽 焦糖味瓜子3包+核桃味瓜子2包 98g*5包
85,100046953988,姚生记 原香瓜子110g*4袋装 甄选大颗粒葵花籽坚果炒货休闲零食
86,100047600553,七月唯谷（July Wheat）南瓜子仁新货原味罐装生熟南瓜子仁休闲炒货零食280g
